Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Season
9.0,Sun,2023-10-29,17:30,Leverkusen,1.4,2–1,0.9,Freiburg,30210.0,BayArena,Daniel Siebert,Match Report,,2024
,,,,,,,,,,,,,,2024
10.0,Fri,2023-11-03,20:30,Darmstadt 98,0.7,1–2,1.2,Bochum,17810.0,Merck-Stadion am Böllenfalltor,Marco Fritz,Match Report,,2024
10.0,Sat,2023-11-04,15:30,Mainz 05,0.9,2–0,0.5,RB Leipzig,30100.0,Mewa Arena,Bastian Dankert,Match Report,,2024
10.0,Sat,2023-11-04,15:30,Freiburg,3.3,3–3,2.2,M'Gladbach,34700.0,Europa-Park Stadion,Felix Brych,Match Report,,2024
10.0,Sat,2023-11-04,15:30,Köln,2.0,1–1,2.6,Augsburg,49300.0,RheinEnergieSTADION,Christian Dingert,Match Report,,2024
10.0,Sat,2023-11-04,15:30,Hoffenheim,1.7,2–3,1.0,Leverkusen,30150.0,PreZero Arena,Frank Willenborg,Match Report,,2024
10.0,Sat,2023-11-04,15:30,Union Berlin,0.7,0–3,1.6,Eint Frankfurt,22012.0,Stadion An der Alten Försterei,Sven Jablonski,Match Report,,2024
10.0,Sat,2023-11-04,18:30,Dortmund,1.0,0–4,3.2,Bayern Munich,81365.0,Signal Iduna Park,Deniz Aytekin,Match Report,,2024
10.0,Sun,2023-11-05,15:30,Wolfsburg,1.6,2–2,1.2,Werder Bremen,28917.0,Volkswagen Arena,Tobias Reichel,Match Report,,2024
10.0,Sun,2023-11-05,17:30,Heidenheim,1.2,2–0,2.6,Stuttgart,15000.0,Voith-Arena,Florian Badstübner,Match Report,,2024
,,,,,,,,,,,,,,2024
11.0,Fri,2023-11-10,20:30,M'Gladbach,1.5,4–0,0.5,Wolfsburg,45308.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,,2024
11.0,Sat,2023-11-11,15:30,Augsburg,1.0,1–1,0.8,Hoffenheim,28260.0,WWK Arena,Felix Brych,Match Report,,2024
11.0,Sat,2023-11-11,15:30,Stuttgart,4.2,2–1,1.0,Dortmund,55000.0,MHPArena,Tobias Stieler,Match Report,,2024
11.0,Sat,2023-11-11,15:30,Bayern Munich,2.0,4–2,0.9,Heidenheim,75000.0,Allianz Arena,Harm Osmers,Match Report,,2024
11.0,Sat,2023-11-11,15:30,Darmstadt 98,0.5,0–0,0.7,Mainz 05,17810.0,Merck-Stadion am Böllenfalltor,Daniel Siebert,Match Report,,2024
11.0,Sat,2023-11-11,18:30,Bochum,3.7,1–1,0.9,Köln,26000.0,Vonovia Ruhrstadion,Matthias Jöllenbeck,Match Report,,2024
11.0,Sun,2023-11-12,15:30,Leverkusen,2.4,4–0,0.0,Union Berlin,29387.0,BayArena,Timo Gerach,Match Report,,2024
11.0,Sun,2023-11-12,17:30,Werder Bremen,1.5,2–2,2.0,Eint Frankfurt,42100.0,Wohninvest Weserstadion,Benjamin Brand,Match Report,,2024
11.0,Sun,2023-11-12,19:30,RB Leipzig,1.9,3–1,0.5,Freiburg,41117.0,Red Bull Arena,Patrick Ittrich,Match Report,,2024
,,,,,,,,,,,,,,2024
12.0,Fri,2023-11-24,20:30,Köln,0.2,0–1,3.5,Bayern Munich,50000.0,RheinEnergieSTADION,Marco Fritz,Match Report,,2024
12.0,Sat,2023-11-25,15:30,Freiburg,1.6,1–1,0.4,Darmstadt 98,34300.0,Europa-Park Stadion,Sascha Stegemann,Match Report,,2024
12.0,Sat,2023-11-25,15:30,Werder Bremen,0.2,0–3,1.0,Leverkusen,42100.0,Wohninvest Weserstadion,Martin Petersen,Match Report,,2024
12.0,Sat,2023-11-25,15:30,Wolfsburg,0.9,2–1,2.7,RB Leipzig,25350.0,Volkswagen Arena,Robert Hartmann,Match Report,,2024
12.0,Sat,2023-11-25,15:30,Union Berlin,2.1,1–1,1.7,Augsburg,22012.0,Stadion An der Alten Försterei,Florian Badstübner,Match Report,,2024
12.0,Sat,2023-11-25,15:30,Dortmund,3.2,4–2,1.0,M'Gladbach,81365.0,Signal Iduna Park,Sven Jablonski,Match Report,,2024
12.0,Sat,2023-11-25,18:30,Eint Frankfurt,0.9,1–2,2.3,Stuttgart,58000.0,Deutsche Bank Park,Felix Brych,Match Report,,2024
12.0,Sun,2023-11-26,15:30,Heidenheim,0.8,0–0,0.4,Bochum,15000.0,Voith-Arena,Felix Zwayer,Match Report,,2024
12.0,Sun,2023-11-26,17:30,Hoffenheim,1.2,1–1,1.8,Mainz 05,22000.0,PreZero Arena,Deniz Aytekin,Match Report,,2024
,,,,,,,,,,,,,,2024
13.0,Fri,2023-12-01,20:30,Darmstadt 98,0.7,0–1,1.5,Köln,17810.0,Merck-Stadion am Böllenfalltor,Patrick Ittrich,Match Report,,2024
13.0,Sat,2023-12-02,15:30,RB Leipzig,4.0,2–1,1.0,Heidenheim,44887.0,Red Bull Arena,Christian Dingert,Match Report,,2024
13.0,Sat,2023-12-02,15:30,Bochum,1.5,3–1,1.3,Wolfsburg,24350.0,Vonovia Ruhrstadion,Robert Schröder,Match Report,,2024
13.0,Sat,2023-12-02,15:30,M'Gladbach,1.6,2–1,1.4,Hoffenheim,49341.0,Stadion im Borussia-Park,Tobias Reichel,Match Report,,2024
13.0,Sat,2023-12-02,18:30,Stuttgart,3.5,2–0,0.8,Werder Bremen,54500.0,MHPArena,Bastian Dankert,Match Report,,2024
13.0,Sun,2023-12-03,15:30,Mainz 05,2.3,0–1,0.9,Freiburg,30300.0,Mewa Arena,Tobias Stieler,Match Report,,2024
13.0,Sun,2023-12-03,17:30,Leverkusen,2.1,1–1,0.7,Dortmund,30210.0,BayArena,Daniel Siebert,Match Report,,2024
13.0,Sun,2023-12-03,19:30,Augsburg,1.4,2–1,1.0,Eint Frankfurt,26107.0,WWK Arena,Harm Osmers,Match Report,,2024
,,,,,,,,,,,,,,2024
14.0,Fri,2023-12-08,20:30,Hoffenheim,1.5,3–1,1.5,Bochum,16023.0,PreZero Arena,Matthias Jöllenbeck,Match Report,,2024
14.0,Sat,2023-12-09,15:30,Heidenheim,1.4,3–2,0.9,Darmstadt 98,15000.0,Voith-Arena,Daniel Schlager,Match Report,,2024
14.0,Sat,2023-12-09,15:30,Eint Frankfurt,1.3,5–1,2.1,Bayern Munich,58000.0,Deutsche Bank Park,Felix Zwayer,Match Report,,2024
14.0,Sat,2023-12-09,15:30,Union Berlin,2.1,3–1,1.1,M'Gladbach,22012.0,Stadion An der Alten Försterei,Martin Petersen,Match Report,,2024
14.0,Sat,2023-12-09,15:30,Wolfsburg,1.2,0–1,1.1,Freiburg,20146.0,Volkswagen Arena,Marco Fritz,Match Report,,2024
14.0,Sat,2023-12-09,15:30,Werder Bremen,1.5,2–0,0.7,Augsburg,41000.0,Wohninvest Weserstadion,Sascha Stegemann,Match Report,,2024
14.0,Sat,2023-12-09,18:30,Dortmund,1.5,2–3,2.8,RB Leipzig,81365.0,Signal Iduna Park,Sven Jablonski,Match Report,,2024
14.0,Sun,2023-12-10,15:30,Stuttgart,2.6,1–1,1.3,Leverkusen,54500.0,MHPArena,Deniz Aytekin,Match Report,,2024
14.0,Sun,2023-12-10,17:30,Köln,0.3,0–0,1.4,Mainz 05,50000.0,RheinEnergieSTADION,Frank Willenborg,Match Report,,2024
,,,,,,,,,,,,,,2024
15.0,Fri,2023-12-15,20:30,M'Gladbach,1.4,2–2,1.6,Werder Bremen,50660.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,,2024
15.0,Sat,2023-12-16,15:30,Darmstadt 98,0.6,0–1,0.6,Wolfsburg,16900.0,Merck-Stadion am Böllenfalltor,Robert Hartmann,Match Report,,2024
15.0,Sat,2023-12-16,15:30,Bochum,2.8,3–0,0.7,Union Berlin,25300.0,Vonovia Ruhrstadion,Sven Jablonski,Match Report,,2024
15.0,Sat,2023-12-16,15:30,Augsburg,1.8,1–1,2.6,Dortmund,30660.0,WWK Arena,Matthias Jöllenbeck,Match Report,,2024
15.0,Sat,2023-12-16,15:30,Mainz 05,1.6,0–1,0.5,Heidenheim,27200.0,Mewa Arena,Bastian Dankert,Match Report,,2024
